1:0:d=2026050500:PRES:surface:anl:ens mean
2:75165:d=2026050500:TMP:1000 mb:anl:ens mean
3:125763:d=2026050500:TMP:925 mb:anl:ens mean
4:201324:d=2026050500:TMP:850 mb:anl:ens mean
5:276873:d=2026050500:TMP:700 mb:anl:ens mean
6:347053:d=2026050500:TMP:600 mb:anl:ens mean
7:414708:d=2026050500:TMP:500 mb:anl:ens mean
8:490802:d=2026050500:TMP:400 mb:anl:ens mean
9:563178:d=2026050500:TMP:300 mb:anl:ens mean
10:633705:d=2026050500:TMP:250 mb:anl:ens mean
11:705015:d=2026050500:TMP:200 mb:anl:ens mean
12:789560:d=2026050500:TMP:150 mb:anl:ens mean
13:869771:d=2026050500:TMP:100 mb:anl:ens mean
14:937233:d=2026050500:TMP:70 mb:anl:ens mean
15:1005123:d=2026050500:TMP:50 mb:anl:ens mean
16:1082886:d=2026050500:TMP:20 mb:anl:ens mean
17:1145530:d=2026050500:TMP:10 mb:anl:ens mean
18:1207046:d=2026050500:UGRD:1000 mb:anl:ens mean
19:1275620:d=2026050500:VGRD:1000 mb:anl:ens mean
20:1387089:d=2026050500:UGRD:925 mb:anl:ens mean
21:1473473:d=2026050500:VGRD:925 mb:anl:ens mean
22:1625816:d=2026050500:UGRD:850 mb:anl:ens mean
23:1715188:d=2026050500:VGRD:850 mb:anl:ens mean
24:1891718:d=2026050500:UGRD:700 mb:anl:ens mean
25:1994926:d=2026050500:VGRD:700 mb:anl:ens mean
26:2176373:d=2026050500:UGRD:600 mb:anl:ens mean
27:2263790:d=2026050500:VGRD:600 mb:anl:ens mean
28:2448413:d=2026050500:UGRD:500 mb:anl:ens mean
29:2533584:d=2026050500:VGRD:500 mb:anl:ens mean
30:2700866:d=2026050500:UGRD:400 mb:anl:ens mean
31:2786538:d=2026050500:VGRD:400 mb:anl:ens mean
32:2956088:d=2026050500:UGRD:300 mb:anl:ens mean
33:3042661:d=2026050500:VGRD:300 mb:anl:ens mean
34:3197472:d=2026050500:UGRD:250 mb:anl:ens mean
35:3267376:d=2026050500:VGRD:250 mb:anl:ens mean
36:3418837:d=2026050500:UGRD:200 mb:anl:ens mean
37:3498840:d=2026050500:VGRD:200 mb:anl:ens mean
38:3660474:d=2026050500:UGRD:150 mb:anl:ens mean
39:3736588:d=2026050500:VGRD:150 mb:anl:ens mean
40:3891517:d=2026050500:UGRD:100 mb:anl:ens mean
41:3977603:d=2026050500:VGRD:100 mb:anl:ens mean
42:4141965:d=2026050500:UGRD:70 mb:anl:ens mean
43:4224737:d=2026050500:VGRD:70 mb:anl:ens mean
44:4383458:d=2026050500:UGRD:50 mb:anl:ens mean
45:4462239:d=2026050500:VGRD:50 mb:anl:ens mean
46:4615090:d=2026050500:UGRD:20 mb:anl:ens mean
47:4678296:d=2026050500:VGRD:20 mb:anl:ens mean
48:4827763:d=2026050500:UGRD:10 mb:anl:ens mean
49:4888692:d=2026050500:VGRD:10 mb:anl:ens mean
50:5035973:d=2026050500:SPFH:1000 mb:anl:ens mean
51:5098035:d=2026050500:SPFH:925 mb:anl:ens mean
52:5189432:d=2026050500:SPFH:850 mb:anl:ens mean
53:5286620:d=2026050500:SPFH:700 mb:anl:ens mean
54:5391984:d=2026050500:SPFH:600 mb:anl:ens mean
55:5488357:d=2026050500:SPFH:500 mb:anl:ens mean
56:5585292:d=2026050500:SPFH:400 mb:anl:ens mean
57:5678471:d=2026050500:SPFH:300 mb:anl:ens mean
58:5760260:d=2026050500:SPFH:250 mb:anl:ens mean
59:5837151:d=2026050500:SPFH:200 mb:anl:ens mean
60:5914444:d=2026050500:SPFH:150 mb:anl:ens mean
61:5992761:d=2026050500:SPFH:100 mb:anl:ens mean
62:6066964:d=2026050500:SPFH:70 mb:anl:ens mean
63:6142148:d=2026050500:SPFH:50 mb:anl:ens mean
64:6212902:d=2026050500:SPFH:20 mb:anl:ens mean
65:6275673:d=2026050500:SPFH:10 mb:anl:ens mean
66:6340824:d=2026050500:HGT:1000 mb:anl:ens mean
67:6396194:d=2026050500:HGT:925 mb:anl:ens mean
68:6464425:d=2026050500:HGT:850 mb:anl:ens mean
69:6534251:d=2026050500:HGT:700 mb:anl:ens mean
70:6604034:d=2026050500:HGT:600 mb:anl:ens mean
71:6663669:d=2026050500:HGT:500 mb:anl:ens mean
72:6718590:d=2026050500:HGT:400 mb:anl:ens mean
73:6773509:d=2026050500:HGT:300 mb:anl:ens mean
74:6828258:d=2026050500:HGT:250 mb:anl:ens mean
75:6881136:d=2026050500:HGT:200 mb:anl:ens mean
76:6931193:d=2026050500:HGT:150 mb:anl:ens mean
77:6978716:d=2026050500:HGT:100 mb:anl:ens mean
78:7024094:d=2026050500:HGT:70 mb:anl:ens mean
79:7066620:d=2026050500:HGT:50 mb:anl:ens mean
80:7109105:d=2026050500:HGT:20 mb:anl:ens mean
81:7145878:d=2026050500:HGT:10 mb:anl:ens mean
